name,city,country,iata,icao,lat,lon,elev,tz,dst,olsontz
Sept Iles,Sept-iles,Canada,YZV,CYZV,50.223333,-66.265556,180,-5,A,America/Toronto
Teslin,Teslin,Canada,YZW,CYZW,60.172779,-132.742778,2313,-8,A,America/Vancouver
Greenwood,Greenwood,Canada,YZX,CYZX,44.984444,-64.916944,92,-4,A,America/Halifax
Faro,Faro,Canada,ZFA,CZFA,62.2075,-133.375833,2351,-8,A,America/Vancouver
Fort Mcpherson,Fort Mcpherson,Canada,ZFM,CZFM,67.4075,-134.860556,116,-7,A,America/Edmonton
RK Heliplex,Panorama,Canada,,\N,50.2735,-116.14,358,-7,A,America/Edmonton
Ekati,Ekati,Canada,YOA,CYOA,64.698889,-110.614722,1540,-7,A,America/Edmonton
Victoria Inner Harbour Airport,Victoria,Canada,YWH,CYWH,48.422778,-123.3875,0,-8,A,America/Vancouver
Vancouver Coal Harbour,Vancouver,Canada,CXH,CAQ3,49.289722,-123.115833,0,-8,A,America/Vancouver
Aklavik,Aklavik,Canada,LAK,CYKD,68.223333,-135.005833,23,-7,A,America/Edmonton
Deline,Deline,Canada,YWJ,CYWJ,65.1833333,-125.41666667,550,-7,A,America/Edmonton
Tulita,Tulita,Canada,ZFN,CZFN,64.0833333,-125.5833333,320,-7,A,America/Edmonton
Fort Good Hope,Fort Good Hope,Canada,YGH,CYGH,66.26666667,-128.65,215,-7,A,America/Edmonton
Inuvik Town,Inuvik,Canada,,\N,66.3676,-133.7594,200,-7,A,America/Edmonton
INAWR,Inuvik,Canada,,\N,68.3676,-133.7594,200,-7,A,America/Edmonton
Paulatuk,Paulatuk,Canada,YPC,CYPC,62.35,-124.3333,50,-7,A,America/Edmonton
Nicholson Peninsula,Nicholson Peninsula,Canada,,YUCX,69.917,-128.95,1,-7,A,America/Edmonton
Wollaston Lake Airport,Wollaston Lake,Canada,ZWL,CZWL,58.1069,-103.172,1360,-6,N,America/Regina
Churchill Falls Airport,Churchill Falls,Canada,ZUM,CZUM,53.5619,-64.1064,1442,-4,A,America/Halifax
Shamattawa Airport,Shamattawa,Canada,ZTM,CZTM,55.8656,-92.0814,289,-6,A,America/Winnipeg
Sandy Lake Airport,Sandy Lake,Canada,ZSJ,CZSJ,53.0642,-93.3444,951,-6,A,America/Winnipeg
Round Lake (Weagamow Lake) Airport,Round Lake,Canada,ZRJ,CZRJ,52.9436,-91.3128,974,-6,A,America/Winnipeg
Sachigo Lake Airport,Sachigo Lake,Canada,ZPB,CZPB,53.8911,-92.1964,876,-6,A,America/Winnipeg
Masset Airport,Masset,Canada,ZMT,CZMT,54.0275,-132.125,25,-8,A,America/Vancouver
Muskrat Dam Airport,Muskrat Dam,Canada,MSA,CZMD,53.4414,-91.7628,911,-6,A,America/Winnipeg
Kashechewan Airport,Kashechewan,Canada,ZKE,CZKE,52.2825,-81.6778,35,-5,A,America/Toronto
Swan River Airport,Swan River,Canada,ZJN,CZJN,52.1206,-101.236,1100,-6,A,America/Winnipeg
Gods River Airport,Gods River,Canada,ZGI,CZGI,54.8397,-94.0786,627,-6,A,America/Winnipeg
Fond-Du-Lac Airport,Fond-Du-Lac,Canada,ZFD,CZFD,59.3344,-107.182,814,-6,N,America/Regina
Eastmain River Airport,Eastmain River,Canada,ZEM,CZEM,52.2264,-78.5225,24,-5,A,America/Toronto
Bathurst Airport,Bathurst,Canada,ZBF,CZBF,47.6297,-65.7389,193,-4,A,America/Halifax
Ilford Airport,Ilford,Canada,ILF,CZBD,56.0614,-95.6139,642,-6,A,America/Winnipeg
York Landing Airport,York Landing,Canada,ZAC,CZAC,56.0894,-96.0892,621,-6,A,America/Winnipeg
Salluit Airport,Salluit,Canada,YZG,CYZG,62.1794,-75.6672,743,-5,A,America/Toronto
Whale Cove Airport,Whale Cove,Canada,YXN,CYXN,62.24,-92.5981,40,-6,A,America/Winnipeg
Webequie Airport,Webequie,Canada,YWP,CYWP,52.9597,-87.3689,685,-5,A,America/Toronto
Deer Lake Airport,Deer Lake,Canada,YVZ,CYVZ,52.6558,-94.0614,1092,-6,A,America/Winnipeg
Big Trout Lake Airport,Big Trout Lake,Canada,YTL,CYTL,53.8178,-89.8969,729,-6,A,America/Winnipeg
St. Theresa Point Airport,St. Theresa Point,Canada,YST,CYST,53.8456,-94.8519,773,-6,A,America/Winnipeg
Sanikiluaq Airport,Sanikiluaq,Canada,YSK,CYSK,56.5378,-79.2467,104,-5,A,\N
